accuracy,accuracy,accuracy,accuracy
dataset2,DT,RF,SVM
0meI,0.94,0.92,0.92
0meD,0.95,0.92,0.92
0miI,0.95,0.92,0.8
0minD,0.94,0.93,0.78
memeI,0.95,0.93,0.93
memeD,0.94,0.93,0.92
meminI,0.94,0.92,0.8
meminD,0.94,0.93,0.78
medmeI,0.94,0.92,0.92
medmeD,0.95,0.93,0.91
medminI,0.95,0.93,0.79
medminD,0.93,0.93,0.78
recall,recall,recall,recall
dataset2,DT,RF,SVM
0meI,0.93,0.86,0.85
0meD,0.93,0.85,0.86
0miI,0.92,0.87,0.58
0minD,0.92,0.87,0.54
memeI,0.93,0.88,0.88
memeD,0.91,0.86,0.85
meminI,0.91,0.86,0.58
meminD,0.93,0.88,0.55
medmeI,0.92,0.86,0.87
medmeD,0.94,0.86,0.85
medminI,0.92,0.86,0.56
medminD,0.91,0.88,0.54
precision,precision,precision,precision
dataset2,DT,RF,SVM
0meI,0.92,0.94,0.93
0meD,0.93,0.94,0.92
0miI,0.93,0.93,0.89
0minD,0.92,0.94,0.89
memeI,0.93,0.94,0.93
memeD,0.92,0.93,0.93
meminI,0.92,0.93,0.89
meminD,0.91,0.94,0.89
medmeI,0.92,0.94,0.92
medmeD,0.93,0.94,0.93
medminI,0.92,0.93,0.89
medminD,0.91,0.94,0.89
false_alarm,false_alarm,false_alarm,false_alarm
dataset2,DT,RF,SVM
0meI,0.07,0.14,0.15
0meD,0.07,0.15,0.14
0miI,0.08,0.13,0.42
0minD,0.08,0.13,0.46
memeI,0.07,0.12,0.12
memeD,0.09,0.14,0.15
meminI,0.09,0.14,0.42
meminD,0.07,0.13,0.45
medmeI,0.08,0.14,0.13
medmeD,0.06,0.14,0.15
medminI,0.08,0.14,0.44
medminD,0.09,0.12,0.46
times,times,times,times
dataset2,DT,RF,SVM
0meI,0.05,0.07,0.06
0meD,0.05,0.07,0.06
0miI,0.05,0.07,0.06
0minD,0.05,0.07,0.06
memeI,0.05,0.07,0.06
memeD,0.05,0.07,0.06
meminI,0.05,0.07,0.06
meminD,0.05,0.07,0.06
medmeI,0.05,0.07,0.06
medmeD,0.05,0.07,0.06
medminI,0.05,0.07,0.06
medminD,0.05,0.07,0.06
